dtfk1,ft1,dtsk2,dtfk3,dtsk3,dtfk4,ft4,dtsk4,ft5,dtsk5,dtfk6,dtsk6,ft7,ft8,dtfk10,ft10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk14,dtsk14,gender
47,31,62,62,78,78,109,94,156,78,62,62,94,94,141,78,78,94,109,31,79,47,63,1
62,32,62,62,62,62,32,62,125,94,78,79,47,125,47,62,79,110,125,78,156,62,63,1
63,78,79,94,32,78,109,94,140,94,47,94,94,94,141,78,78,94,109,31,79,47,63,1
109,16,78,78,62,62,313,391,47,62,62,78,15,62,16,62,47,62,94,234,78,31,15,1
78,16,16,93,62,62,16,47,578,32,47,16,63,94,32,63,62,47,94,172,16,47,46,1
32,62,63,78,50,62,313,391,79,62,79,15,78,62,16,62,47,62,94,234,78,31,15,1
78,594,62,62,78,78,109,219,15,63,78,63,46,125,63,62,94,63,78,16,78,79,63,1
63,31,94,62,78,47,62,63,47,94,94,47,47,109,62,94,47,47,94,62,16,63,63,1
78,110,62,47,47,78,109,219,32,94,16,94,16,63,63,62,94,63,78,16,78,79,63,1
119,47,94,94,78,78,172,266,47,94,93,94,157,312,594,63,93,109,94,31,78,94,78,1
94,93,78,78,93,78,15,78,31,78,93,844,94,94,94,78,47,110,172,78,63,94,78,1
15,94,94,93,94,78,172,266,16,78,62,63,16,109,594,63,93,109,94,31,78,94,78,1
78,78,78,78,63,63,141,281,47,47,32,47,94,31,47,78,63,93,15,93,16,47,47,1
47,78,125,63,32,47,47,78,47,47,63,62,93,32,78,63,62,16,32,94,156,63,31,1
235,47,47,62,63,63,141,281,31,109,78,47,47,0,47,78,63,93,15,93,16,47,47,1
79,125,94,94,78,78,94,94,312,78,94,94,78,125,78,78,94,78,62,78,78,63,62,1
94,16,78,62,94,78,16,62,188,78,94,94,187,94,47,78,47,78,204,46,79,78,78,1
78,31,47,63,63,78,94,94,172,78,31,125,47,46,78,78,94,78,62,78,78,63,62,1
109,78,94,94,63,63,172,125,156,125,47,125,47,94,16,79,62,141,203,16,78,125,109,1
125,188,62,16,47,109,16,78,109,125,62,110,31,78,94,78,93,94,79,62,47,78,124,1
93,16,78,31,15,63,172,125,547,172,15,93,47,109,16,79,62,141,203,16,78,125,109,1
94,47,94,94,93,93,16,94,47,31,16,110,94,80,15,47,78,16,672,31,78,16,31,1
110,94,94,63,16,110,78,94,625,32,78,47,141,16,62,63,62,78,671,47,125,78,78,1
31,94,15,16,31,93,16,94,656,32,156,47,78,593,15,47,78,16,672,31,78,16,31,1
62,63,94,94,62,62,16,125,32,16,110,62,16,78,15,47,78,94,93,16,94,94,78,1
62,16,78,62,110,78,32,62,16,47,78,32,47,78,46,63,47,94,78,109,94,62,62,1
16,94,31,62,62,62,16,125,16,78,62,62,31,703,15,47,78,94,93,16,94,94,78,1
94,62,109,109,78,78,63,78,94,78,78,110,16,79,31,63,93,94,94,31,109,78,94,1
110,15,47,93,78,109,31,78,141,266,93,109,16,78,62,78,79,75,78,93,47,93,109,1
109,16,78,62,94,78,63,78,78,109,47,110,16,110,31,63,93,94,94,31,109,78,94,1
78,31,63,63,62,62,62,156,32,78,109,94,204,16,219,78,78,31,15,94,484,78,93,1
94,31,78,79,109,250,63,31,15,79,78,157,31,141,78,47,78,15,125,78,62,31,47,1
94,16,94,78,79,62,62,156,47,141,19,16,32,63,219,78,78,31,15,94,484,78,93,1
47,93,47,47,16,16,63,78,156,31,47,78,63,94,47,47,93,172,78,16,125,63,79,1
78,32,94,94,47,110,15,79,16,78,93,15,15,110,78,79,78,78,93,94,16,47,94,1
16,62,78,78,63,16,63,78,16,125,94,94,16,94,47,47,93,172,78,16,125,63,79,1
47,281,94,94,78,78,156,235,31,94,62,250,47,157,156,94,110,156,109,125,62,62,94,1
250,16,94,94,62,78,15,78,125,109,110,141,109,47,79,78,62,203,31,141,343,62,93,1
78,47,46,63,94,78,156,235,46,109,62,43,110,0,156,94,110,156,109,125,62,62,94,1
78,187,78,78,63,63,62,94,141,78,78,110,16,157,31,94,62,78,109,156,110,94,78,1
110,15,78,78,78,47,47,62,109,79,62,62,265,78,47,110,62,156,78,94,156,125,94,1
94,16,93,94,63,63,62,94,94,63,16,16,15,719,31,94,62,78,109,156,110,94,78,1
109,31,94,94,93,93,32,110,62,62,32,63,16,157,656,47,63,32,766,782,15,15,47,1
63,15,32,93,32,78,15,62,703,63,63,141,94,15,78,63,141,110,832,62,32,15,31,1
94,157,94,63,78,93,32,110,15,125,110,16,16,738,656,47,63,32,766,782,15,15,47,1
78,16,78,78,63,63,15,78,94,78,78,94,94,78,31,79,62,63,78,0,94,110,78,1
94,15,62,204,78,110,15,93,125,219,62,94,78,63,63,78,62,63,78,93,32,94,78,1
94,47,47,78,78,63,15,78,125,234,15,94,15,78,31,79,62,63,78,0,94,110,78,1
93,16,78,78,94,94,78,125,94,78,78,250,109,140,94,156,78,94,94,78,78,78,78,1
250,16,110,110,78,93,16,78,62,93,78,94,93,93,172,62,79,265,156,109,16,109,125,1
140,16,93,172,78,94,78,125,93,172,94,93,78,78,94,156,78,94,94,78,78,78,78,1
562,16,78,78,94,94,0,94,109,94,62,93,15,94,109,62,94,94,78,594,125,93,78,1
93,16,78,109,62,110,78,78,78,94,94,94,31,94,63,78,109,94,109,78,63,78,94,1
156,47,94,79,93,94,0,94,78,94,31,47,31,110,109,62,94,94,78,594,125,93,78,1
125,157,93,93,141,141,265,390,63,110,15,38,93,109,46,125,985,203,47,172,359,78,109,1
38,129,109,594,15,172,250,31,15,187,985,140,125,94,94,172,109,16,157,282,15,156,391,1
16,125,78,219,15,141,265,390,46,140,31,31,187,125,46,125,985,203,47,172,359,78,109,1
94,296,141,141,94,94,78,156,63,93,93,78,31,141,78,63,234,234,109,94,63,94,140,1
78,94,156,128,93,94,16,62,78,125,234,94,94,78,78,94,78,156,141,78,140,78,109,1
125,93,94,110,94,94,78,156,62,94,93,94,62,110,78,63,234,234,109,94,63,94,140,1
141,16,94,94,62,62,391,110,15,110,78,93,109,204,297,78,235,297,93,282,109,93,109,1
93,32,125,93,78,94,47,94,15,141,235,250,125,125,78,94,94,172,78,141,15,94,94,1
234,141,94,79,94,62,391,110,15,109,16,218,188,156,297,78,235,297,93,282,109,93,109,1
62,32,78,78,63,63,15,109,16,62,31,63,47,93,94,47,94,109,94,47,125,62,78,1
63,15,78,79,31,78,63,31,15,62,94,78,63,110,78,63,62,94,109,78,110,63,94,1
78,63,16,63,47,63,15,109,16,63,16,94,16,125,94,47,94,109,94,47,125,62,78,1
141,15,102,102,118,118,53,91,259,144,63,109,78,125,156,47,78,110,110,343,125,94,125,1
109,188,94,16,63,110,15,63,172,94,78,157,16,94,79,78,93,94,125,125,250,156,109,1
125,15,109,16,532,118,53,91,223,125,16,110,16,125,156,47,78,110,110,343,125,94,125,1
94,31,78,78,94,94,15,63,62,63,78,78,32,93,78,15,79,63,78,16,62,15,16,1
78,16,125,156,78,78,79,62,63,78,79,78,31,47,63,62,125,78,109,172,15,109,79,1
140,31,78,46,78,94,15,63,62,79,31,109,172,78,78,15,79,63,78,16,62,15,16,1
125,62,63,63,109,109,63,78,125,47,78,172,16,78,265,79,78,141,62,32,109,78,63,1
172,16,63,62,78,94,31,94,125,203,78,110,116,141,31,62,79,156,126,46,219,78,46,1
94,31,78,63,94,109,63,78,125,110,78,63,31,62,265,79,78,141,62,32,109,78,63,1
78,62,78,78,78,78,156,141,16,125,110,203,16,110,47,63,94,94,187,16,94,79,62,1
203,31,94,32,110,78,16,62,15,94,94,125,63,94,63,93,79,78,110,93,32,94,63,1
78,47,110,94,78,78,156,141,109,125,47,109,15,93,47,63,94,94,187,16,94,79,62,1
62,32,47,47,63,63,47,62,141,62,63,78,110,110,78,62,79,79,63,15,78,78,62,1
78,47,94,78,63,62,32,93,157,62,79,125,203,156,47,109,47,109,125,47,78,63,78,1
63,125,62,78,62,63,47,62,140,78,46,141,31,78,78,62,79,79,63,15,78,78,62,1
94,141,47,47,78,78,250,328,62,172,157,313,78,47,62,78,344,140,47,125,78,78,94,1
313,109,110,141,157,46,79,31,62,172,344,140,235,515,62,78,78,16,94,78,62,62,79,1
78,78,78,125,15,78,250,328,63,172,47,62,141,125,62,78,344,140,47,125,78,78,94,1
93,282,78,78,78,78,234,94,47,94,63,63,218,109,78,78,78,63,78,828,78,63,78,1
63,297,62,78,63,62,188,62,63,109,78,203,250,47,62,94,62,78,94,62,344,78,62,1
62,797,62,47,62,78,234,94,203,109,219,125,375,78,78,78,78,63,78,828,78,63,78,1
93,32,94,94,62,62,110,250,63,63,78,78,46,266,78,78,63,125,109,32,93,93,63,1
78,16,109,62,78,78,31,78,16,63,63,141,16,516,63,93,63,125,94,93,547,62,78,1
31,172,78,0,78,62,110,250,938,31,16,94,32,78,78,78,63,125,109,32,93,93,63,1
156,0,93,93,109,109,32,171,16,109,47,62,62,78,31,47,375,156,63,16,78,78,125,1
62,16,16,63,47,94,93,47,31,109,375,78,109,16,63,78,78,78,16,109,0,94,94,1
47,31,93,63,78,109,32,171,31,125,15,140,125,0,31,47,375,156,63,16,78,78,125,1
125,15,78,78,93,93,94,78,203,63,63,187,0,94,141,109,63,94,93,16,78,93,62,1
187,16,63,94,63,78,31,63,0,94,63,125,63,94,234,328,110,110,94,93,32,94,78,1
78,31,62,78,78,93,94,78,171,63,15,94,16,110,141,109,63,94,93,16,78,93,62,1
125,172,109,109,109,109,250,78,110,78,78,110,140,125,94,78,110,47,94,265,94,93,78,1
110,359,78,78,78,78,219,93,78,78,110,610,328,141,93,94,63,78,156,94,140,110,93,1
94,313,78,63,94,109,250,78,250,94,78,156,187,94,94,78,110,47,94,265,94,93,78,1
63,94,47,47,63,63,93,156,31,63,63,62,125,47,78,56,73,78,79,15,110,62,63,1
62,16,47,63,63,47,16,47,594,656,73,16,125,78,62,78,63,140,47,110,62,63,78,1
78,31,63,78,62,63,93,156,16,94,62,15,31,703,78,56,73,78,79,15,110,62,63,1
109,16,109,109,47,47,391,438,31,46,94,94,31,140,94,31,78,109,109,16,78,78,94,1
94,0,110,78,94,78,141,78,32,46,78,78,78,109,63,62,78,125,687,94,78,78,94,1
78,109,93,94,78,47,391,438,31,94,78,46,31,94,94,31,78,109,109,16,78,78,94,1
125,31,125,125,93,93,485,594,47,140,94,93,141,109,47,78,78,47,125,16,93,78,93,1
93,16,125,78,94,109,47,78,31,141,78,109,110,110,62,94,62,125,172,78,94,94,93,1
156,16,63,62,94,93,485,594,16,109,94,109,78,94,47,78,78,47,125,16,93,78,93,1
62,63,47,47,31,31,125,63,171,79,63,172,32,78,63,47,93,78,78,172,78,46,78,1
172,15,47,78,63,79,46,47,31,94,93,125,15,63,62,78,63,78,125,62,47,62,78,1
62,0,63,78,62,31,125,63,47,94,94,109,16,79,63,47,93,78,78,172,78,46,78,1
93,547,172,172,79,79,128,225,40,110,63,78,47,140,47,62,109,78,47,15,62,94,94,1
78,16,109,109,63,78,47,62,734,0,109,172,93,47,78,78,78,79,110,94,78,15,47,1
78,78,47,78,78,79,128,225,47,141,93,62,31,109,47,62,109,78,47,15,62,94,94,1
