dtfk1,ft1,dtsk4,dtfk5,ft5,dtfk6,dtfk7,ft7,dtfk8,dtfk10,dtfk11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,dtsk13,dtfk14,gender
47,31,94,94,156,62,62,94,78,141,94,31,109,31,79,78,94,47,1
62,32,62,94,125,78,93,47,78,47,110,93,125,78,156,93,78,62,1
63,78,94,78,140,47,62,94,93,141,94,31,109,31,79,63,47,47,1
109,16,391,391,47,62,79,15,94,16,62,32,94,234,78,62,16,31,1
78,16,47,516,578,47,437,63,78,32,47,94,94,172,16,16,94,47,1
32,62,391,484,79,79,250,78,90,16,62,32,94,234,78,46,62,31,1
78,594,219,219,15,78,79,46,78,63,63,63,78,16,78,63,78,79,1
63,31,63,62,47,94,93,47,63,62,47,47,94,62,16,62,78,63,1
78,110,219,62,32,16,62,16,79,63,63,63,78,16,78,63,109,79,1
119,47,266,266,47,93,78,157,94,594,109,94,94,31,78,63,15,94,1
94,93,78,0,31,93,31,94,63,94,110,78,172,78,63,16,78,94,1
15,94,266,0,16,62,78,16,62,594,109,94,94,31,78,78,110,94,1
78,78,281,281,47,32,62,94,125,47,93,47,15,93,16,16,94,47,1
47,78,78,0,47,63,94,93,187,78,16,47,32,94,156,328,47,63,1
235,47,281,0,31,78,78,47,63,47,93,47,15,93,16,31,328,47,1
79,125,94,94,312,94,78,78,63,78,78,78,62,78,78,78,63,63,1
94,16,62,47,188,94,79,187,62,47,78,63,204,46,79,78,78,78,1
78,31,94,78,172,31,78,47,78,78,78,78,62,78,78,78,79,63,1
109,78,125,125,156,47,16,47,94,16,141,157,203,16,78,109,94,125,1
125,188,78,156,109,62,47,31,109,94,94,62,79,62,47,109,78,78,1
93,16,125,156,547,15,78,47,78,16,141,157,203,16,78,124,78,125,1
94,47,94,94,47,16,31,94,4,15,16,62,672,31,78,15,32,16,1
110,94,94,532,625,78,62,141,172,62,78,141,671,47,125,15,15,78,1
31,94,94,563,656,156,31,78,72,15,16,62,672,31,78,78,109,16,1
62,63,125,125,32,110,78,16,78,15,94,47,93,16,94,16,31,94,1
62,16,62,0,16,78,31,47,63,46,94,109,78,109,94,391,15,62,1
16,94,125,93,16,62,94,31,77,15,94,47,93,16,94,62,62,94,1
94,62,78,78,94,78,78,16,109,31,94,109,94,31,109,94,78,78,1
110,15,78,156,141,93,109,16,93,62,75,93,78,93,47,62,78,93,1
109,16,78,94,78,47,109,16,110,31,94,109,94,31,109,109,78,78,1
78,31,156,156,32,109,78,204,140,219,31,62,15,94,484,62,78,78,1
94,31,31,0,15,78,63,31,31,78,15,109,125,78,62,93,78,31,1
94,16,156,0,47,19,62,32,78,219,31,62,15,94,484,47,31,78,1
47,93,78,78,156,47,62,63,78,47,172,63,78,16,125,110,93,63,1
78,32,79,0,16,93,110,15,62,78,78,78,93,94,16,32,47,47,1
16,62,78,125,16,94,78,16,78,47,172,63,78,16,125,94,93,63,1
47,281,235,235,31,62,78,47,78,156,156,125,109,125,62,63,265,62,1
250,16,78,94,125,110,16,109,62,79,203,109,31,141,343,156,93,62,1
78,47,235,0,46,62,78,110,78,156,156,125,109,125,62,93,78,62,1
78,187,94,94,141,78,62,16,78,31,78,78,109,156,110,32,78,94,1
110,15,62,94,109,62,203,265,62,47,156,125,78,94,156,62,78,125,1
94,16,94,78,94,16,32,15,110,31,78,78,109,156,110,94,63,94,1
109,31,110,110,62,32,78,16,79,656,32,79,766,782,15,47,16,15,1
63,15,62,640,703,63,47,94,16,78,110,93,832,62,32,15,15,15,1
94,157,110,0,15,110,703,16,62,656,32,79,766,782,15,31,16,15,1
78,16,78,78,94,78,63,94,94,31,63,63,78,0,94,15,469,110,1
