dtfk1,ft1,dtfk3,dtsk3,dtfk4,ft4,dtsk4,dtsk5,dtsk6,dtsk7,dtfk10,dtsk10,dtfk11,ft11,dtfk12,dtsk12,dtfk13,ft14,gender
47,31,62,78,78,109,94,78,62,94,141,78,94,94,109,79,78,109,1
62,32,62,62,62,32,62,94,79,78,47,79,110,78,125,156,93,94,1
63,78,94,32,78,109,94,94,94,78,141,78,94,94,109,79,63,109,1
109,16,78,62,62,313,391,62,78,78,16,47,62,47,94,78,62,63,1
78,16,93,62,62,16,47,32,16,62,32,62,47,63,94,16,16,32,1
32,62,78,50,62,313,391,62,15,47,16,47,62,47,94,78,46,63,1
78,594,62,78,78,109,219,63,63,47,63,94,63,93,78,78,63,171,1
63,31,62,78,47,62,63,94,47,63,62,47,47,109,94,16,62,46,1
78,110,47,47,78,109,219,94,94,78,63,94,63,93,78,78,63,171,1
119,47,94,78,78,172,266,94,94,93,594,93,109,31,94,78,63,31,1
94,93,78,93,78,15,78,78,844,63,94,47,110,47,172,63,16,78,1
15,94,93,94,78,172,266,78,63,93,594,93,109,31,94,78,78,31,1
78,78,78,63,63,141,281,47,47,62,47,63,93,156,15,16,16,94,1
47,78,63,32,47,47,78,47,62,16,78,62,16,78,32,156,328,141,1
235,47,62,63,63,141,281,109,47,78,47,63,93,156,15,16,31,94,1
79,125,94,78,78,94,94,78,94,63,78,94,78,63,62,78,78,31,1
94,16,62,94,78,16,62,78,94,78,47,47,78,62,204,79,78,63,1
78,31,63,63,78,94,94,78,125,78,78,94,78,63,62,78,78,31,1
109,78,94,63,63,172,125,125,125,31,16,62,141,78,203,78,109,16,1
125,188,16,47,109,16,78,125,110,109,94,93,94,94,79,47,109,47,1
93,16,31,15,63,172,125,172,93,125,16,62,141,78,203,78,124,16,1
94,47,94,93,93,16,94,31,110,16,15,78,16,79,672,78,15,110,1
110,94,63,16,110,78,94,32,47,15,62,62,78,32,671,125,15,16,1
31,94,16,31,93,16,94,32,47,16,15,78,16,79,672,78,78,110,1
62,63,94,62,62,16,125,16,62,62,15,78,94,31,93,94,16,15,1
62,16,62,110,78,32,62,47,32,16,46,47,94,16,78,94,391,32,1
16,94,62,62,62,16,125,78,62,93,15,78,94,31,93,94,62,15,1
94,62,109,78,78,63,78,78,110,62,31,93,94,78,94,109,94,16,1
110,15,93,78,109,31,78,266,109,94,62,79,75,86,78,47,62,16,1
109,16,62,94,78,63,78,109,110,62,31,93,94,78,94,109,109,16,1
78,31,63,62,62,62,156,78,94,78,219,78,31,141,15,484,62,32,1
94,31,79,109,250,63,31,79,157,62,78,78,15,94,125,62,93,78,1
94,16,78,79,62,62,156,141,16,78,219,78,31,141,15,484,47,32,1
47,93,47,16,16,63,78,31,78,78,47,93,172,15,78,125,110,15,1
78,32,94,47,110,15,79,78,15,110,78,78,78,15,93,16,32,31,1
16,62,78,63,16,63,78,125,94,78,47,93,172,15,78,125,94,15,1
47,281,94,78,78,156,235,94,250,63,156,110,156,47,109,62,63,16,1
250,16,94,62,78,15,78,109,141,63,79,62,203,31,31,343,156,32,1
78,47,63,94,78,156,235,109,43,93,156,110,156,47,109,62,93,16,1
78,187,78,63,63,62,94,78,110,94,31,62,78,47,109,110,32,31,1
110,15,78,78,47,47,62,79,62,32,47,62,156,63,78,156,62,16,1
94,16,94,63,63,62,94,63,16,93,31,62,78,47,109,110,94,31,1
109,31,94,93,93,32,110,62,63,63,656,63,32,78,766,15,47,62,1
63,15,93,32,78,15,62,63,141,47,78,141,110,15,832,32,15,62,1
94,157,63,78,93,32,110,125,16,47,656,63,32,78,766,15,31,62,1
78,16,78,63,63,15,78,78,94,78,31,62,63,93,78,94,15,15,1
94,15,204,78,110,15,93,219,94,15,63,62,63,94,78,32,78,31,1
94,47,78,78,63,15,78,234,94,62,31,62,63,93,78,94,78,15,1
93,16,78,94,94,78,125,78,250,172,94,78,94,94,94,78,94,78,1
250,16,110,78,93,16,78,93,94,94,172,79,265,78,156,16,94,813,1
140,16,172,78,94,78,125,172,93,78,94,78,94,94,94,78,125,78,1
562,16,78,94,94,0,94,94,93,79,109,94,94,125,78,125,78,47,1
93,16,109,62,110,78,78,94,94,78,63,109,94,78,109,63,78,47,1
156,47,79,93,94,0,94,94,47,78,109,94,94,125,78,125,94,47,1
125,157,93,141,141,265,390,110,38,219,46,985,203,62,47,359,125,110,1
38,129,594,15,172,250,31,187,140,125,94,109,16,110,157,15,344,313,1
16,125,219,15,141,265,390,140,31,94,46,985,203,62,47,359,391,110,1
94,296,141,94,94,78,156,93,78,110,78,234,234,63,109,63,62,203,1
78,94,128,93,94,16,62,125,94,62,78,78,156,47,141,140,32,63,1
125,93,110,94,94,78,156,94,94,109,78,234,234,63,109,63,109,203,1
141,16,94,62,62,391,110,110,93,79,297,235,297,31,93,109,344,32,1
93,32,93,78,94,47,94,141,250,344,78,94,172,31,78,15,62,62,1
234,141,79,94,62,391,110,109,218,109,297,235,297,31,93,109,94,32,1
62,32,78,63,63,15,109,62,63,63,94,94,109,16,94,125,15,32,1
63,15,79,31,78,63,31,62,78,15,78,62,94,47,109,110,62,47,1
78,63,63,47,63,15,109,63,94,79,94,94,109,16,94,125,94,32,1
141,15,102,118,118,53,91,144,109,16,156,78,110,94,110,125,110,15,1
109,188,16,63,110,15,63,94,157,110,79,93,94,125,125,250,110,15,1
125,15,16,532,118,53,91,125,110,78,156,78,110,94,110,125,109,15,1
94,31,78,94,94,15,63,63,78,46,78,79,63,109,78,62,79,47,1
78,16,156,78,78,79,62,78,78,79,63,125,78,79,109,15,63,16,1
140,31,46,78,94,15,63,79,109,16,78,79,63,109,78,62,79,47,1
125,62,63,109,109,63,78,47,172,63,265,78,141,46,62,109,41,15,1
172,16,62,78,94,31,94,203,110,41,31,79,156,47,126,219,47,47,1
94,31,63,94,109,63,78,110,63,62,265,78,141,46,62,109,46,15,1
78,62,78,78,78,156,141,125,203,94,47,94,94,125,187,94,109,78,1
203,31,32,110,78,16,62,94,125,109,63,79,78,110,110,32,78,31,1
78,47,94,78,78,156,141,125,109,63,47,94,94,125,187,94,63,78,1
62,32,47,63,63,47,62,62,78,78,78,79,79,140,63,78,47,16,1
78,47,78,63,62,32,93,62,125,47,47,47,109,94,125,78,47,47,1
63,125,78,62,63,47,62,78,141,63,78,79,79,140,63,78,78,16,1
94,141,47,78,78,250,328,172,313,125,62,344,140,234,47,78,62,31,1
313,109,141,157,46,79,31,172,140,62,62,78,16,93,94,62,156,281,1
78,78,125,15,78,250,328,172,62,62,62,344,140,234,47,78,79,31,1
93,282,78,78,78,234,94,94,63,47,78,78,63,140,78,78,78,219,1
63,297,78,63,62,188,62,109,203,78,62,62,78,140,94,344,94,204,1
