dtsk1,dtfk3,dtsk3,dtfk4,dtsk4,ft5,dtsk5,dtsk6,dtfk7,ft7,dtsk7,dtfk8,dtsk8,dtfk10,dtsk10,dtfk11,ft12,dtfk13,ft13,dtfk14,ft14,dtsk14,gender
63,62,78,78,94,156,78,62,62,94,94,78,62,141,78,94,31,78,63,47,109,63,1
93,62,62,62,62,125,94,79,93,47,78,78,47,47,79,110,78,93,47,62,94,63,1
93,94,32,78,94,140,94,94,62,94,78,93,125,141,78,94,31,63,140,47,109,63,1
109,78,62,62,391,47,62,78,79,15,78,94,109,16,47,62,234,62,125,31,63,15,1
78,93,62,62,47,578,32,16,437,63,62,78,94,32,62,47,172,16,78,47,32,46,1
16,78,50,62,391,79,62,15,250,78,47,90,94,16,47,62,234,46,32,31,63,15,1
62,62,78,78,219,15,63,63,79,46,47,78,63,63,94,63,16,63,62,79,171,63,1
63,62,78,47,63,47,94,47,93,47,63,63,63,62,47,47,62,62,63,63,46,63,1
62,47,47,78,219,32,94,94,62,16,78,79,94,63,94,63,16,63,266,79,171,63,1
156,94,78,78,266,47,94,94,78,157,93,94,63,594,93,109,31,63,78,94,31,78,1
94,78,93,78,78,31,78,844,31,94,63,63,62,94,47,110,78,16,109,94,78,78,1
16,93,94,78,266,16,78,63,78,16,93,62,172,594,93,109,31,78,47,94,31,78,1
94,78,63,63,281,47,47,47,62,94,62,125,63,47,63,93,93,16,78,47,94,47,1
78,63,32,47,78,47,47,62,94,93,16,187,63,78,62,16,94,328,62,63,141,31,1
328,62,63,63,281,31,109,47,78,47,78,63,32,47,63,93,93,31,62,47,94,47,1
109,94,78,78,94,312,78,94,78,78,63,63,62,78,94,78,78,78,125,63,31,62,1
78,62,94,78,62,188,78,94,79,187,78,62,78,47,47,78,46,78,47,78,63,78,1
78,63,63,78,94,172,78,125,78,47,78,78,204,78,94,78,78,78,218,63,31,62,1
125,94,63,63,125,156,125,125,16,47,31,94,78,16,62,141,16,109,16,125,16,109,1
47,16,47,109,78,109,125,110,47,31,109,109,94,94,93,94,62,109,32,78,47,124,1
109,31,15,63,125,547,172,93,78,47,125,78,79,16,62,141,16,124,16,125,16,109,1
141,94,93,93,94,47,31,110,31,94,16,4,31,15,78,16,31,15,78,16,110,31,1
15,63,16,110,94,625,32,47,62,141,15,172,31,62,62,78,47,15,125,78,16,78,1
15,16,31,93,94,656,32,47,31,78,16,72,671,15,78,16,31,78,31,16,110,31,1
125,94,62,62,125,32,16,62,78,16,62,78,78,15,78,94,16,16,63,94,15,78,1
78,62,110,78,62,16,47,32,31,47,16,63,78,46,47,94,109,391,78,62,32,62,1
391,62,62,62,125,16,78,62,94,31,93,77,78,15,78,94,16,62,16,94,15,78,1
110,109,78,78,78,94,78,110,78,16,62,109,93,31,93,94,31,94,78,78,16,94,1
78,93,78,109,78,141,266,109,109,16,94,93,110,62,79,75,93,62,47,93,16,109,1
62,62,94,78,78,78,109,110,109,16,62,110,78,31,93,94,31,109,63,78,16,94,1
157,63,62,62,156,32,78,94,78,204,78,140,78,219,78,31,94,62,47,78,32,93,1
94,79,109,250,31,15,79,157,63,31,62,31,31,78,78,15,78,93,32,31,78,47,1
93,78,79,62,156,47,141,16,62,32,78,78,125,219,78,31,94,47,63,78,32,93,1
63,47,16,16,78,156,31,78,62,63,78,78,62,47,93,172,16,110,125,63,15,79,1
110,94,47,110,79,16,78,15,110,15,110,62,47,78,78,78,94,32,63,47,31,94,1
32,78,63,16,78,16,125,94,78,16,78,78,93,47,93,172,16,94,63,63,15,79,1
125,94,78,78,235,31,94,250,78,47,63,78,125,156,110,156,125,63,47,62,16,94,1
125,94,62,78,78,125,109,141,16,109,63,62,125,79,62,203,141,156,32,62,32,93,1
156,63,94,78,235,46,109,43,78,110,93,78,31,156,110,156,125,93,32,62,16,94,1
94,78,63,63,94,141,78,110,62,16,94,78,78,31,62,78,156,32,79,94,31,78,1
78,78,78,47,62,109,79,62,203,265,32,62,78,47,62,156,94,62,78,125,16,94,1
62,94,63,63,94,94,63,16,32,15,93,110,78,31,62,78,156,94,31,94,31,78,1
109,94,93,93,110,62,62,63,78,16,63,79,62,656,63,32,782,47,125,15,62,47,1
78,93,32,78,62,703,63,141,47,94,47,16,62,78,141,110,62,15,78,15,62,31,1
15,63,78,93,110,15,125,16,703,16,47,62,832,656,63,32,782,31,109,15,62,47,1
93,78,63,63,78,94,78,94,63,94,78,94,47,31,62,63,0,15,94,110,15,78,1
94,204,78,110,93,125,219,94,79,78,15,15,78,63,62,63,93,78,156,94,31,78,1
78,78,78,63,78,125,234,94,141,15,62,78,78,31,62,63,0,78,32,110,15,78,1
94,78,94,94,125,94,78,250,125,109,172,94,110,94,78,94,78,94,63,78,78,78,1
125,110,78,93,78,62,93,94,141,93,94,47,110,172,79,265,109,94,703,109,813,125,1
94,172,78,94,125,93,172,93,94,78,78,156,156,94,78,94,78,125,31,78,78,78,1
78,78,94,94,94,109,94,93,78,15,79,94,93,109,94,94,594,78,47,93,47,78,1
78,109,62,110,78,78,94,94,78,31,78,62,94,63,109,94,78,78,31,78,47,94,1
78,79,93,94,94,78,94,47,47,31,78,78,109,109,94,94,594,94,172,93,47,78,1
109,93,141,141,390,63,110,38,15,93,219,109,94,46,985,203,172,125,94,78,110,109,1
297,594,15,172,31,15,187,140,94,125,125,94,62,94,109,16,282,344,406,156,313,391,1
344,219,15,141,390,46,140,31,141,187,94,94,157,46,985,203,172,391,31,78,110,109,1
110,141,94,94,156,63,93,78,109,31,110,94,109,78,234,234,94,62,125,94,203,140,1
94,128,93,94,62,78,125,94,94,94,62,641,108,78,78,156,78,32,93,78,63,109,1
32,110,94,94,156,62,94,94,125,62,109,94,141,78,234,234,94,109,156,94,203,140,1
93,94,62,62,110,15,110,93,78,109,79,125,109,297,235,297,282,344,62,93,32,109,1
93,93,78,94,94,15,141,250,16,125,344,125,125,78,94,172,141,62,94,94,62,94,1
62,79,94,62,110,15,109,218,125,188,109,94,78,297,235,297,282,94,141,93,32,109,1
109,78,63,63,109,16,62,63,46,47,63,63,78,94,94,109,47,15,78,62,32,78,1
94,79,31,78,31,15,62,78,78,63,15,93,62,78,62,94,78,62,31,63,47,94,1
62,63,47,63,109,16,63,94,62,16,79,78,109,94,94,109,47,94,46,62,32,78,1
82,102,118,118,91,259,144,109,31,78,16,125,93,156,78,110,343,110,31,94,15,125,1
62,16,63,110,63,172,94,157,219,16,110,16,109,79,93,94,125,110,15,156,15,109,1
110,16,532,118,91,223,125,110,156,16,78,171,125,156,78,110,343,109,16,94,15,125,1
78,78,94,94,63,62,63,78,62,32,46,31,94,78,79,63,16,79,15,15,47,16,1
62,156,78,78,62,63,78,78,78,31,79,15,172,63,125,78,172,63,47,109,16,79,1
63,46,78,94,63,62,79,109,110,172,16,110,109,78,79,63,16,79,78,15,47,16,1
94,63,109,109,78,125,47,172,46,16,63,125,63,265,78,141,32,41,65,78,15,63,1
78,62,78,94,94,125,203,110,172,116,41,63,46,31,79,156,46,47,63,78,47,46,1
47,63,94,109,78,125,110,63,32,31,62,94,126,265,78,141,32,46,47,78,15,63,1
110,78,78,78,141,16,125,203,78,16,94,109,78,47,94,94,16,109,32,79,78,62,1
125,32,110,78,62,15,94,125,109,63,109,78,78,63,79,78,93,78,16,94,31,63,1
78,94,78,78,141,109,125,109,94,15,63,63,110,47,94,94,16,63,62,79,78,62,1
78,47,63,63,62,141,62,78,62,110,78,78,78,78,79,79,15,47,94,78,16,62,1
62,78,63,62,93,157,62,125,94,203,47,78,94,47,47,109,47,47,47,63,47,78,1
47,78,62,63,62,140,78,141,78,31,63,63,125,78,79,79,15,78,62,78,16,62,1
93,47,78,78,328,62,172,313,47,78,125,422,250,62,344,140,125,62,125,78,31,94,1
32,141,157,46,31,62,172,140,140,235,62,359,63,62,78,16,78,156,16,62,281,79,1
156,125,15,78,328,63,172,62,109,141,62,94,94,62,344,140,125,79,31,78,31,94,1
93,78,78,78,94,47,94,63,63,218,47,79,62,78,78,63,828,78,297,63,219,78,1
62,78,63,62,62,63,109,203,78,250,78,93,78,62,62,78,62,94,484,78,204,62,1
94,47,62,78,94,203,109,125,78,375,47,62,94,78,78,63,828,62,375,63,219,78,1
93,94,62,62,250,63,63,78,125,46,0,187,93,78,63,125,32,47,78,93,78,63,1
94,62,78,78,78,16,63,141,78,16,47,62,78,63,63,125,93,0,78,62,16,78,1
0,0,78,62,250,938,31,94,109,32,78,94,94,78,63,125,32,78,63,93,78,63,1
94,93,109,109,171,16,109,62,63,62,63,156,110,31,375,156,16,47,78,78,31,125,1
94,63,47,94,47,31,109,78,94,109,47,93,125,63,78,78,109,62,16,94,15,94,1
62,63,78,109,171,31,125,140,62,125,109,125,16,31,375,156,16,94,62,78,31,125,1
110,78,93,93,78,203,63,187,141,0,78,78,78,141,63,94,16,78,78,93,32,62,1
78,94,63,78,63,0,94,125,94,63,78,93,94,234,110,110,93,78,32,94,31,78,1
78,78,78,93,78,171,63,94,109,16,62,79,94,141,63,94,16,78,16,93,32,62,1
94,109,109,109,78,110,78,110,125,140,63,62,47,94,110,47,265,63,422,93,94,78,1
