ft1,dtsk2,dtfk3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk7,ft7,dtsk7,dtfk8,ft8,dtfk10,dtsk10,dtfk12,ft12,dtsk12,dtfk14,ft14,dtsk14,gender
31,62,62,78,78,109,94,94,78,62,94,94,78,94,141,78,109,31,79,47,109,63,1
32,62,62,62,62,32,62,94,94,93,47,78,78,125,47,79,125,78,156,62,94,63,1
78,79,94,32,78,109,94,78,94,62,94,78,93,94,141,78,109,31,79,47,109,63,1
16,78,78,62,62,313,391,391,62,79,15,78,94,62,16,47,94,234,78,31,63,15,1
16,16,93,62,62,16,47,516,32,437,63,62,78,94,32,62,94,172,16,47,32,46,1
62,63,78,50,62,313,391,484,62,250,78,47,90,62,16,47,94,234,78,31,63,15,1
594,62,62,78,78,109,219,219,63,79,46,47,78,125,63,94,78,16,78,79,171,63,1
31,94,62,78,47,62,63,62,94,93,47,63,63,109,62,47,94,62,16,63,46,63,1
110,62,47,47,78,109,219,62,94,62,16,78,79,63,63,94,78,16,78,79,171,63,1
47,94,94,78,78,172,266,266,94,78,157,93,94,312,594,93,94,31,78,94,31,78,1
93,78,78,93,78,15,78,0,78,31,94,63,63,94,94,47,172,78,63,94,78,78,1
94,94,93,94,78,172,266,0,78,78,16,93,62,109,594,93,94,31,78,94,31,78,1
78,78,78,63,63,141,281,281,47,62,94,62,125,31,47,63,15,93,16,47,94,47,1
78,125,63,32,47,47,78,0,47,94,93,16,187,32,78,62,32,94,156,63,141,31,1
47,47,62,63,63,141,281,0,109,78,47,78,63,0,47,63,15,93,16,47,94,47,1
125,94,94,78,78,94,94,94,78,78,78,63,63,125,78,94,62,78,78,63,31,62,1
16,78,62,94,78,16,62,47,78,79,187,78,62,94,47,47,204,46,79,78,63,78,1
31,47,63,63,78,94,94,78,78,78,47,78,78,46,78,94,62,78,78,63,31,62,1
78,94,94,63,63,172,125,125,125,16,47,31,94,94,16,62,203,16,78,125,16,109,1
188,62,16,47,109,16,78,156,125,47,31,109,109,78,94,93,79,62,47,78,47,124,1
16,78,31,15,63,172,125,156,172,78,47,125,78,109,16,62,203,16,78,125,16,109,1
47,94,94,93,93,16,94,94,31,31,94,16,4,80,15,78,672,31,78,16,110,31,1
94,94,63,16,110,78,94,532,32,62,141,15,172,16,62,62,671,47,125,78,16,78,1
94,15,16,31,93,16,94,563,32,31,78,16,72,593,15,78,672,31,78,16,110,31,1
63,94,94,62,62,16,125,125,16,78,16,62,78,78,15,78,93,16,94,94,15,78,1
16,78,62,110,78,32,62,0,47,31,47,16,63,78,46,47,78,109,94,62,32,62,1
94,31,62,62,62,16,125,93,78,94,31,93,77,703,15,78,93,16,94,94,15,78,1
62,109,109,78,78,63,78,78,78,78,16,62,109,79,31,93,94,31,109,78,16,94,1
15,47,93,78,109,31,78,156,266,109,16,94,93,78,62,79,78,93,47,93,16,109,1
16,78,62,94,78,63,78,94,109,109,16,62,110,110,31,93,94,31,109,78,16,94,1
31,63,63,62,62,62,156,156,78,78,204,78,140,16,219,78,15,94,484,78,32,93,1
31,78,79,109,250,63,31,0,79,63,31,62,31,141,78,78,125,78,62,31,78,47,1
16,94,78,79,62,62,156,0,141,62,32,78,78,63,219,78,15,94,484,78,32,93,1
93,47,47,16,16,63,78,78,31,62,63,78,78,94,47,93,78,16,125,63,15,79,1
32,94,94,47,110,15,79,0,78,110,15,110,62,110,78,78,93,94,16,47,31,94,1
62,78,78,63,16,63,78,125,125,78,16,78,78,94,47,93,78,16,125,63,15,79,1
281,94,94,78,78,156,235,235,94,78,47,63,78,157,156,110,109,125,62,62,16,94,1
16,94,94,62,78,15,78,94,109,16,109,63,62,47,79,62,31,141,343,62,32,93,1
47,46,63,94,78,156,235,0,109,78,110,93,78,0,156,110,109,125,62,62,16,94,1
187,78,78,63,63,62,94,94,78,62,16,94,78,157,31,62,109,156,110,94,31,78,1
15,78,78,78,47,47,62,94,79,203,265,32,62,78,47,62,78,94,156,125,16,94,1
16,93,94,63,63,62,94,78,63,32,15,93,110,719,31,62,109,156,110,94,31,78,1
31,94,94,93,93,32,110,110,62,78,16,63,79,157,656,63,766,782,15,15,62,47,1
15,32,93,32,78,15,62,640,63,47,94,47,16,15,78,141,832,62,32,15,62,31,1
157,94,63,78,93,32,110,0,125,703,16,47,62,738,656,63,766,782,15,15,62,47,1
16,78,78,63,63,15,78,78,78,63,94,78,94,78,31,62,78,0,94,110,15,78,1
15,62,204,78,110,15,93,47,219,79,78,15,15,63,63,62,78,93,32,94,31,78,1
47,47,78,78,63,15,78,94,234,141,15,62,78,78,31,62,78,0,94,110,15,78,1
16,78,78,94,94,78,125,125,78,125,109,172,94,140,94,78,94,78,78,78,78,78,1
16,110,110,78,93,16,78,0,93,141,93,94,47,93,172,79,156,109,16,109,813,125,1
16,93,172,78,94,78,125,891,172,94,78,78,156,78,94,78,94,78,78,78,78,78,1
16,78,78,94,94,0,94,94,94,78,15,79,94,94,109,94,78,594,125,93,47,78,1
16,78,109,62,110,78,78,94,94,78,31,78,62,94,63,109,109,78,63,78,47,94,1
47,94,79,93,94,0,94,94,94,47,31,78,78,110,109,94,78,594,125,93,47,78,1
157,93,93,141,141,265,390,390,110,15,93,219,109,109,46,985,47,172,359,78,110,109,1
129,109,594,15,172,250,31,0,187,94,125,125,94,94,94,109,157,282,15,156,313,391,1
125,78,219,15,141,265,390,0,140,141,187,94,94,125,46,985,47,172,359,78,110,109,1
296,141,141,94,94,78,156,156,93,109,31,110,94,141,78,234,109,94,63,94,203,140,1
94,156,128,93,94,16,62,0,125,94,94,62,641,78,78,78,141,78,140,78,63,109,1
93,94,110,94,94,78,156,125,94,125,62,109,94,110,78,234,109,94,63,94,203,140,1
16,94,94,62,62,391,110,110,110,78,109,79,125,204,297,235,93,282,109,93,32,109,1
32,125,93,78,94,47,94,125,141,16,125,344,125,125,78,94,78,141,15,94,62,94,1
141,94,79,94,62,391,110,0,109,125,188,109,94,156,297,235,93,282,109,93,32,109,1
32,78,78,63,63,15,109,109,62,46,47,63,63,93,94,94,94,47,125,62,32,78,1
15,78,79,31,78,63,31,0,62,78,63,15,93,110,78,62,109,78,110,63,47,94,1
63,16,63,47,63,15,109,125,63,62,16,79,78,125,94,94,94,47,125,62,32,78,1
15,102,102,118,118,53,91,91,144,31,78,16,125,125,156,78,110,343,125,94,15,125,1
188,94,16,63,110,15,63,78,94,219,16,110,16,94,79,93,125,125,250,156,15,109,1
15,109,16,532,118,53,91,94,125,156,16,78,171,125,156,78,110,343,125,94,15,125,1
31,78,78,94,94,15,63,63,63,62,32,46,31,93,78,79,78,16,62,15,47,16,1
16,125,156,78,78,79,62,515,78,78,31,79,15,47,63,125,109,172,15,109,16,79,1
31,78,46,78,94,15,63,94,79,110,172,16,110,78,78,79,78,16,62,15,47,16,1
62,63,63,109,109,63,78,78,47,46,16,63,125,78,265,78,62,32,109,78,15,63,1
16,63,62,78,94,31,94,78,203,172,116,41,63,141,31,79,126,46,219,78,47,46,1
31,78,63,94,109,63,78,62,110,32,31,62,94,62,265,78,62,32,109,78,15,63,1
62,78,78,78,78,156,141,141,125,78,16,94,109,110,47,94,187,16,94,79,78,62,1
31,94,32,110,78,16,62,172,94,109,63,109,78,94,63,79,110,93,32,94,31,63,1
47,110,94,78,78,156,141,125,125,94,15,63,63,93,47,94,187,16,94,79,78,62,1
32,47,47,63,63,47,62,62,62,62,110,78,78,110,78,79,63,15,78,78,16,62,1
47,94,78,63,62,32,93,78,62,94,203,47,78,156,47,47,125,47,78,63,47,78,1
125,62,78,62,63,47,62,63,78,78,31,63,63,78,78,79,63,15,78,78,16,62,1
141,47,47,78,78,250,328,328,172,47,78,125,422,47,62,344,47,125,78,78,31,94,1
109,110,141,157,46,79,31,0,172,140,235,62,359,515,62,78,94,78,62,62,281,79,1
78,78,125,15,78,250,328,0,172,109,141,62,94,125,62,344,47,125,78,78,31,94,1
282,78,78,78,78,234,94,94,94,63,218,47,79,109,78,78,78,828,78,63,219,78,1
297,62,78,63,62,188,62,93,109,78,250,78,93,47,62,62,94,62,344,78,204,62,1
797,62,47,62,78,234,94,141,109,78,375,47,62,78,78,78,78,828,78,63,219,78,1
32,94,94,62,62,110,250,250,63,125,46,0,187,266,78,63,109,32,93,93,78,63,1
16,109,62,78,78,31,78,125,63,78,16,47,62,516,63,63,94,93,547,62,16,78,1
172,78,0,78,62,110,250,844,31,109,32,78,94,78,78,63,109,32,93,93,78,63,1
0,93,93,109,109,32,171,171,109,63,62,63,156,78,31,375,63,16,78,78,31,125,1
16,16,63,47,94,93,47,110,109,94,109,47,93,16,63,78,16,109,0,94,15,94,1
31,93,63,78,109,32,171,94,125,62,125,109,125,0,31,375,63,16,78,78,31,125,1
15,78,78,93,93,94,78,78,63,141,0,78,78,94,141,63,93,16,78,93,32,62,1
16,63,94,63,78,31,63,0,94,94,63,78,93,94,234,110,94,93,32,94,31,78,1
31,62,78,78,93,94,78,94,63,109,16,62,79,110,141,63,93,16,78,93,32,62,1
172,109,109,109,109,250,78,78,78,125,140,63,62,125,94,110,94,265,94,93,94,78,1
359,78,78,78,78,219,93,94,78,62,328,63,109,141,93,63,156,94,140,110,125,93,1
313,78,63,94,109,250,78,93,94,94,187,78,109,94,94,110,94,265,94,93,94,78,1
94,47,47,63,63,93,156,156,63,78,125,78,141,47,78,73,79,15,110,62,31,63,1
16,47,63,63,47,16,47,0,656,62,125,78,78,78,62,63,47,110,62,63,31,78,1
31,63,78,62,63,93,156,0,94,94,31,63,78,703,78,73,79,15,110,62,31,63,1
16,109,109,47,47,391,438,438,46,78,31,94,110,140,94,78,109,16,78,78,0,94,1
0,110,78,94,78,141,78,0,46,31,78,15,63,109,63,78,687,94,78,78,31,94,1
109,93,94,78,47,391,438,0,94,110,31,94,0,94,94,78,109,16,78,78,0,94,1
31,125,125,93,93,485,594,594,140,78,141,62,125,109,47,78,125,16,93,78,32,93,1
16,125,78,94,109,47,78,125,141,32,110,0,78,110,62,62,172,78,94,94,47,93,1
