ft1,dtsk2,dtfk3,ft3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk6,ft7,dtsk7,ft8,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtfk14,dtsk14,gender
31,62,62,63,78,109,94,94,78,62,94,94,94,141,78,78,94,94,31,47,63,1
32,62,62,63,62,32,62,94,94,78,47,78,125,47,62,79,110,78,78,62,63,1
78,79,94,15,78,109,94,78,94,47,94,78,94,141,78,78,94,94,31,47,63,1
16,78,78,15,62,313,391,391,62,62,15,78,62,16,62,47,62,47,234,31,15,1
16,16,93,32,62,16,47,516,32,47,63,62,94,32,63,62,47,63,172,47,46,1
62,63,78,62,62,313,391,484,62,79,78,47,62,16,62,47,62,47,234,31,15,1
594,62,62,32,78,109,219,219,63,78,46,47,125,63,62,94,63,93,16,79,63,1
31,94,62,78,47,62,63,62,94,94,47,63,109,62,94,47,47,109,62,63,63,1
110,62,47,63,78,109,219,62,94,16,16,78,63,63,62,94,63,93,16,79,63,1
47,94,94,62,78,172,266,266,94,93,157,93,312,594,63,93,109,31,31,94,78,1
93,78,78,47,78,15,78,0,78,93,94,63,94,94,78,47,110,47,78,94,78,1
94,94,93,47,78,172,266,0,78,62,16,93,109,594,63,93,109,31,31,94,78,1
78,78,78,62,63,141,281,281,47,32,94,62,31,47,78,63,93,156,93,47,47,1
78,125,63,62,47,47,78,0,47,63,93,16,32,78,63,62,16,78,94,63,31,1
47,47,62,47,63,141,281,0,109,78,47,78,0,47,78,63,93,156,93,47,47,1
125,94,94,78,78,94,94,94,78,94,78,63,125,78,78,94,78,63,78,63,62,1
16,78,62,110,78,16,62,47,78,94,187,78,94,47,78,47,78,62,46,78,78,1
31,47,63,15,78,94,94,78,78,31,47,78,46,78,78,94,78,63,78,63,62,1
78,94,94,15,63,172,125,125,125,47,47,31,94,16,79,62,141,78,16,125,109,1
188,62,16,110,109,16,78,156,125,62,31,109,78,94,78,93,94,94,62,78,124,1
16,78,31,94,63,172,125,156,172,15,47,125,109,16,79,62,141,78,16,125,109,1
47,94,94,125,93,16,94,94,31,16,94,16,80,15,47,78,16,79,31,16,31,1
94,94,63,141,110,78,94,532,32,78,141,15,16,62,63,62,78,32,47,78,78,1
94,15,16,78,93,16,94,563,32,156,78,16,593,15,47,78,16,79,31,16,31,1
63,94,94,47,62,16,125,125,16,110,16,62,78,15,47,78,94,31,16,94,78,1
16,78,62,78,78,32,62,0,47,78,47,16,78,46,63,47,94,16,109,62,62,1
94,31,62,32,62,16,125,93,78,62,31,93,703,15,47,78,94,31,16,94,78,1
62,109,109,16,78,63,78,78,78,78,16,62,79,31,63,93,94,78,31,78,94,1
15,47,93,47,109,31,78,156,266,93,16,94,78,62,78,79,75,86,93,93,109,1
16,78,62,31,78,63,78,94,109,47,16,62,110,31,63,93,94,78,31,78,94,1
31,63,63,16,62,62,156,156,78,109,204,78,16,219,78,78,31,141,94,78,93,1
