dtfk1,ft3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtsk6,dtsk7,dtfk8,ft8,dtsk8,dtfk10,dtsk10,dtfk11,ft12,dtsk12,dtsk13,dtfk14,ft14,gender
47,63,109,94,94,156,78,62,94,78,94,62,141,78,94,31,79,94,47,109,1
62,63,32,62,94,125,94,79,78,78,125,47,47,79,110,78,156,78,62,94,1
63,15,109,94,78,140,94,94,78,93,94,125,141,78,94,31,79,47,47,109,1
109,15,313,391,391,47,62,78,78,94,62,109,16,47,62,234,78,16,31,63,1
78,32,16,47,516,578,32,16,62,78,94,94,32,62,47,172,16,94,47,32,1
32,62,313,391,484,79,62,15,47,90,62,94,16,47,62,234,78,62,31,63,1
78,32,109,219,219,15,63,63,47,78,125,63,63,94,63,16,78,78,79,171,1
63,78,62,63,62,47,94,47,63,63,109,63,62,47,47,62,16,78,63,46,1
78,63,109,219,62,32,94,94,78,79,63,94,63,94,63,16,78,109,79,171,1
119,62,172,266,266,47,94,94,93,94,312,63,594,93,109,31,78,15,94,31,1
94,47,15,78,0,31,78,844,63,63,94,62,94,47,110,78,63,78,94,78,1
15,47,172,266,0,16,78,63,93,62,109,172,594,93,109,31,78,110,94,31,1
78,62,141,281,281,47,47,47,62,125,31,63,47,63,93,93,16,94,47,94,1
47,62,47,78,0,47,47,62,16,187,32,63,78,62,16,94,156,47,63,141,1
235,47,141,281,0,31,109,47,78,63,0,32,47,63,93,93,16,328,47,94,1
79,78,94,94,94,312,78,94,63,63,125,62,78,94,78,78,78,63,63,31,1
94,110,16,62,47,188,78,94,78,62,94,78,47,47,78,46,79,78,78,63,1
78,15,94,94,78,172,78,125,78,78,46,204,78,94,78,78,78,79,63,31,1
109,15,172,125,125,156,125,125,31,94,94,78,16,62,141,16,78,94,125,16,1
125,110,16,78,156,109,125,110,109,109,78,94,94,93,94,62,47,78,78,47,1
93,94,172,125,156,547,172,93,125,78,109,79,16,62,141,16,78,78,125,16,1
94,125,16,94,94,47,31,110,16,4,80,31,15,78,16,31,78,32,16,110,1
110,141,78,94,532,625,32,47,15,172,16,31,62,62,78,47,125,15,78,16,1
31,78,16,94,563,656,32,47,16,72,593,671,15,78,16,31,78,109,16,110,1
62,47,16,125,125,32,16,62,62,78,78,78,15,78,94,16,94,31,94,15,1
62,78,32,62,0,16,47,32,16,63,78,78,46,47,94,109,94,15,62,32,1
16,32,16,125,93,16,78,62,93,77,703,78,15,78,94,16,94,62,94,15,1
