dtfk1,ft1,dtsk2,dtfk3,ft3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk6,dtsk7,dtfk8,dtsk8,dtfk10,dtsk10,dtfk11,ft11,dtfk12,dtsk12,dtfk14,ft14,gender
47,31,62,62,63,109,94,94,156,78,62,94,78,62,141,78,94,94,109,79,47,109,1
62,32,62,62,63,32,62,94,125,94,78,78,78,47,47,79,110,78,125,156,62,94,1
63,78,79,94,15,109,94,78,140,94,47,78,93,125,141,78,94,94,109,79,47,109,1
109,16,78,78,15,313,391,391,47,62,62,78,94,109,16,47,62,47,94,78,31,63,1
78,16,16,93,32,16,47,516,578,32,47,62,78,94,32,62,47,63,94,16,47,32,1
32,62,63,78,62,313,391,484,79,62,79,47,90,94,16,47,62,47,94,78,31,63,1
78,594,62,62,32,109,219,219,15,63,78,47,78,63,63,94,63,93,78,78,79,171,1
63,31,94,62,78,62,63,62,47,94,94,63,63,63,62,47,47,109,94,16,63,46,1
78,110,62,47,63,109,219,62,32,94,16,78,79,94,63,94,63,93,78,78,79,171,1
119,47,94,94,62,172,266,266,47,94,93,93,94,63,594,93,109,31,94,78,94,31,1
94,93,78,78,47,15,78,0,31,78,93,63,63,62,94,47,110,47,172,63,94,78,1
15,94,94,93,47,172,266,0,16,78,62,93,62,172,594,93,109,31,94,78,94,31,1
78,78,78,78,62,141,281,281,47,47,32,62,125,63,47,63,93,156,15,16,47,94,1
47,78,125,63,62,47,78,0,47,47,63,16,187,63,78,62,16,78,32,156,63,141,1
235,47,47,62,47,141,281,0,31,109,78,78,63,32,47,63,93,156,15,16,47,94,1
79,125,94,94,78,94,94,94,312,78,94,63,63,62,78,94,78,63,62,78,63,31,1
94,16,78,62,110,16,62,47,188,78,94,78,62,78,47,47,78,62,204,79,78,63,1
78,31,47,63,15,94,94,78,172,78,31,78,78,204,78,94,78,63,62,78,63,31,1
109,78,94,94,15,172,125,125,156,125,47,31,94,78,16,62,141,78,203,78,125,16,1
125,188,62,16,110,16,78,156,109,125,62,109,109,94,94,93,94,94,79,47,78,47,1
93,16,78,31,94,172,125,156,547,172,15,125,78,79,16,62,141,78,203,78,125,16,1
94,47,94,94,125,16,94,94,47,31,16,16,4,31,15,78,16,79,672,78,16,110,1
110,94,94,63,141,78,94,532,625,32,78,15,172,31,62,62,78,32,671,125,78,16,1
31,94,15,16,78,16,94,563,656,32,156,16,72,671,15,78,16,79,672,78,16,110,1
62,63,94,94,47,16,125,125,32,16,110,62,78,78,15,78,94,31,93,94,94,15,1
62,16,78,62,78,32,62,0,16,47,78,16,63,78,46,47,94,16,78,94,62,32,1
16,94,31,62,32,16,125,93,16,78,62,93,77,78,15,78,94,31,93,94,94,15,1
94,62,109,109,16,63,78,78,94,78,78,62,109,93,31,93,94,78,94,109,78,16,1
110,15,47,93,47,31,78,156,141,266,93,94,93,110,62,79,75,86,78,47,93,16,1
109,16,78,62,31,63,78,94,78,109,47,62,110,78,31,93,94,78,94,109,78,16,1
78,31,63,63,16,62,156,156,32,78,109,78,140,78,219,78,31,141,15,484,78,32,1
94,31,78,79,15,63,31,0,15,79,78,62,31,31,78,78,15,94,125,62,31,78,1
94,16,94,78,93,62,156,0,47,141,19,78,78,125,219,78,31,141,15,484,78,32,1
47,93,47,47,31,63,78,78,156,31,47,78,78,62,47,93,172,15,78,125,63,15,1
78,32,94,94,31,15,79,0,16,78,93,110,62,47,78,78,78,15,93,16,47,31,1
16,62,78,78,15,63,78,125,16,125,94,78,78,93,47,93,172,15,78,125,63,15,1
47,281,94,94,78,156,235,235,31,94,62,63,78,125,156,110,156,47,109,62,62,16,1
250,16,94,94,63,15,78,94,125,109,110,63,62,125,79,62,203,31,31,343,62,32,1
78,47,46,63,15,156,235,0,46,109,62,93,78,31,156,110,156,47,109,62,62,16,1
78,187,78,78,15,62,94,94,141,78,78,94,78,78,31,62,78,47,109,110,94,31,1
110,15,78,78,31,47,62,94,109,79,62,32,62,78,47,62,156,63,78,156,125,16,1
94,16,93,94,15,62,94,78,94,63,16,93,110,78,31,62,78,47,109,110,94,31,1
109,31,94,94,32,32,110,110,62,62,32,63,79,62,656,63,32,78,766,15,15,62,1
63,15,32,93,16,15,62,640,703,63,63,47,16,62,78,141,110,15,832,32,15,62,1
94,157,94,63,31,32,110,0,15,125,110,47,62,832,656,63,32,78,766,15,15,62,1
78,16,78,78,62,15,78,78,94,78,78,78,94,47,31,62,63,93,78,94,110,15,1
94,15,62,204,15,15,93,47,125,219,62,15,15,78,63,62,63,94,78,32,94,31,1
94,47,47,78,594,15,78,94,125,234,15,62,78,78,31,62,63,93,78,94,110,15,1
93,16,78,78,140,78,125,125,94,78,78,172,94,110,94,78,94,94,94,78,78,78,1
250,16,110,110,109,16,78,0,62,93,78,94,47,110,172,79,265,78,156,16,109,813,1
140,16,93,172,15,78,125,891,93,172,94,78,156,156,94,78,94,94,94,78,78,78,1
562,16,78,78,109,0,94,94,109,94,62,79,94,93,109,94,94,125,78,125,93,47,1
93,16,78,109,16,78,78,94,78,94,94,78,62,94,63,109,94,78,109,63,78,47,1
156,47,94,79,31,0,94,94,78,94,31,78,78,109,109,94,94,125,78,125,93,47,1
125,157,93,93,16,265,390,390,63,110,15,219,109,94,46,985,203,62,47,359,78,110,1
38,129,109,594,94,250,31,0,15,187,985,125,94,62,94,109,16,110,157,15,156,313,1
16,125,78,219,110,265,390,0,46,140,31,94,94,157,46,985,203,62,47,359,78,110,1
94,296,141,141,109,78,156,156,63,93,93,110,94,109,78,234,234,63,109,63,94,203,1
78,94,156,128,63,16,62,0,78,125,234,62,641,108,78,78,156,47,141,140,78,63,1
125,93,94,110,62,78,156,125,62,94,93,109,94,141,78,234,234,63,109,63,94,203,1
141,16,94,94,125,391,110,110,15,110,78,79,125,109,297,235,297,31,93,109,93,32,1
93,32,125,93,16,47,94,125,15,141,235,344,125,125,78,94,172,31,78,15,94,62,1
234,141,94,79,31,391,110,0,15,109,16,109,94,78,297,235,297,31,93,109,93,32,1
62,32,78,78,94,15,109,109,16,62,31,63,63,78,94,94,109,16,94,125,62,32,1
63,15,78,79,15,63,31,0,15,62,94,15,93,62,78,62,94,47,109,110,63,47,1
78,63,16,63,47,15,109,125,16,63,16,79,78,109,94,94,109,16,94,125,62,32,1
141,15,102,102,31,53,91,91,259,144,63,16,125,93,156,78,110,94,110,125,94,15,1
109,188,94,16,141,15,63,78,172,94,78,110,16,109,79,93,94,125,125,250,156,15,1
125,15,109,16,93,53,91,94,223,125,16,78,171,125,156,78,110,94,110,125,94,15,1
94,31,78,78,16,15,63,63,62,63,78,46,31,94,78,79,63,109,78,62,15,47,1
78,16,125,156,32,79,62,515,63,78,79,79,15,172,63,125,78,79,109,15,109,16,1
140,31,78,46,16,15,63,94,62,79,31,16,110,109,78,79,63,109,78,62,15,47,1
125,62,63,63,78,63,78,78,125,47,78,63,125,63,265,78,141,46,62,109,78,15,1
172,16,63,62,63,31,94,78,125,203,78,41,63,46,31,79,156,47,126,219,78,47,1
94,31,78,63,15,63,78,62,125,110,78,62,94,126,265,78,141,46,62,109,78,15,1
78,62,78,78,31,156,141,141,16,125,110,94,109,78,47,94,94,125,187,94,79,78,1
203,31,94,32,218,16,62,172,15,94,94,109,78,78,63,79,78,110,110,32,94,31,1
78,47,110,94,31,156,141,125,109,125,47,63,63,110,47,94,94,125,187,94,79,78,1
62,32,47,47,46,47,62,62,141,62,63,78,78,78,78,79,79,140,63,78,78,16,1
78,47,94,78,78,32,93,78,157,62,79,47,78,94,47,47,109,94,125,78,63,47,1
63,125,62,78,47,47,62,63,140,78,46,63,63,125,78,79,79,140,63,78,78,16,1
94,141,47,47,47,250,328,328,62,172,157,125,422,250,62,344,140,234,47,78,78,31,1
313,109,110,141,62,79,31,0,62,172,344,62,359,63,62,78,16,93,94,62,62,281,1
78,78,78,125,78,250,328,0,63,172,47,62,94,94,62,344,140,234,47,78,78,31,1
93,282,78,78,891,234,94,94,47,94,63,47,79,62,78,78,63,140,78,78,63,219,1
63,297,62,78,250,188,62,93,63,109,78,78,93,78,62,62,78,140,94,344,78,204,1
62,797,62,47,235,234,94,141,203,109,219,47,62,94,78,78,63,140,78,78,63,219,1
93,32,94,94,78,110,250,250,63,63,78,0,187,93,78,63,125,47,109,93,93,78,1
78,16,109,62,47,31,78,125,16,63,63,47,62,78,63,63,125,15,94,547,62,16,1
31,172,78,0,16,110,250,844,938,31,16,78,94,94,78,63,125,47,109,93,93,78,1
156,0,93,93,16,32,171,171,16,109,47,63,156,110,31,375,156,47,63,78,78,31,1
62,16,16,63,47,93,47,110,31,109,375,47,93,125,63,78,78,47,16,0,94,15,1
47,31,93,63,62,32,171,94,31,125,15,109,125,16,31,375,156,47,63,78,78,31,1
125,15,78,78,63,94,78,78,203,63,63,78,78,78,141,63,94,78,93,78,93,32,1
187,16,63,94,62,31,63,0,0,94,63,78,93,94,234,110,110,93,94,32,94,31,1
78,31,62,78,63,94,78,94,171,63,15,62,79,94,141,63,94,78,93,78,93,32,1
125,172,109,109,110,250,78,78,110,78,78,63,62,47,94,110,47,156,94,94,93,94,1
110,359,78,78,110,219,93,94,78,78,110,63,109,109,93,63,78,109,156,140,110,125,1
94,313,78,63,15,250,78,93,250,94,78,78,109,156,94,110,47,156,94,94,93,94,1
63,94,47,47,47,93,156,156,31,63,63,78,141,172,78,73,78,31,79,110,62,31,1
62,16,47,63,62,16,47,0,594,656,73,78,78,62,62,63,140,0,47,62,63,31,1
78,31,63,78,32,93,156,0,16,94,62,63,78,47,78,73,78,31,79,110,62,31,1
109,16,109,109,78,391,438,438,31,46,94,94,110,79,94,78,109,125,109,78,78,0,1
94,0,110,78,47,141,78,0,32,46,78,15,63,47,63,78,125,31,687,78,78,31,1
78,109,93,94,31,391,438,0,31,94,78,94,0,687,94,78,109,125,109,78,78,0,1
125,31,125,125,79,485,594,594,47,140,94,62,125,63,47,78,47,62,125,93,78,32,1
93,16,125,78,125,47,78,125,31,141,78,0,78,109,62,62,125,62,172,94,94,47,1
156,16,63,62,31,485,594,234,16,109,94,94,109,172,47,78,47,62,125,93,78,32,1
62,63,47,47,78,125,63,63,171,79,63,78,78,78,63,93,78,78,78,78,46,79,1
172,15,47,78,47,46,47,47,31,94,93,63,78,109,62,63,78,94,125,47,62,63,1
62,0,63,78,47,125,63,46,47,94,94,62,62,125,63,93,78,78,78,78,46,79,1
93,547,172,172,292,128,225,225,40,110,63,78,15,94,47,109,78,63,47,62,94,47,1
78,16,109,109,0,47,62,609,734,0,109,32,109,125,78,78,79,78,110,78,15,62,1
78,78,47,78,297,128,225,0,47,141,93,172,47,110,47,109,78,63,47,62,94,47,1
63,15,63,63,16,63,140,140,188,109,31,94,78,62,47,141,78,94,47,62,93,63,1
62,78,63,94,78,62,78,125,207,109,141,47,94,62,47,63,78,125,93,78,94,31,1
62,31,63,94,62,63,140,47,687,94,78,78,63,93,47,141,78,94,47,62,93,63,1
78,47,78,78,52,271,380,380,47,125,79,62,94,62,47,63,125,32,47,78,62,16,1
62,31,0,78,31,32,78,0,47,125,63,32,78,78,63,63,312,63,62,141,78,31,1
63,0,78,62,16,271,380,125,140,94,63,32,76,62,47,63,125,32,47,78,62,16,1
78,94,78,78,563,140,79,79,250,93,62,62,62,63,125,63,63,93,63,62,62,110,1
63,47,63,63,109,94,62,94,125,125,63,63,78,62,62,63,78,110,110,78,63,47,1
63,78,47,62,78,140,79,78,172,125,62,83,47,110,125,63,63,93,63,62,62,110,1
126,31,78,78,31,31,172,172,31,156,110,93,109,63,0,453,140,47,32,79,78,32,1
125,46,16,109,0,15,78,110,125,156,453,31,94,62,93,78,829,31,109,110,157,31,1
141,0,110,93,32,31,172,172,93,157,31,94,94,109,0,453,140,47,32,79,78,32,1
62,78,78,78,16,78,62,62,94,94,62,94,93,31,32,110,78,94,141,78,78,62,1
94,0,16,47,31,61,52,78,94,188,110,31,47,78,78,63,62,110,141,15,78,47,1
94,47,94,94,62,78,62,79,78,78,16,78,109,141,32,110,78,94,141,78,78,62,1
125,16,78,78,63,188,78,78,31,94,94,78,109,125,78,62,78,110,93,110,78,32,1
156,16,78,109,31,0,78,0,31,109,62,125,78,125,78,63,62,94,125,235,62,235,1
109,31,78,78,47,188,78,0,0,94,0,94,78,125,78,62,78,110,93,110,78,32,1
125,16,125,125,0,109,203,203,47,62,31,31,47,31,16,94,157,31,31,47,78,16,1
47,78,63,31,109,94,0,1469,140,31,94,156,125,31,78,78,0,47,78,16,63,31,1
16,79,62,31,78,109,203,141,15,125,125,109,78,78,16,94,157,31,31,47,78,16,1
141,62,94,94,62,203,78,78,249,88,78,407,78,78,234,93,94,140,78,109,78,109,1
109,63,94,109,94,157,78,62,204,78,93,78,109,78,281,93,94,172,213,110,94,125,1
110,0,78,407,15,203,78,1109,63,250,32,78,78,213,234,93,94,140,78,109,78,109,1
156,47,140,140,32,79,110,110,15,110,31,110,94,78,63,79,63,47,63,63,46,109,1
15,63,46,93,32,94,31,141,0,94,79,48,46,93,31,63,16,78,31,31,16,109,1
63,15,32,110,15,79,110,438,125,31,93,79,93,31,63,79,63,47,63,63,46,109,1
156,16,109,109,32,109,157,157,156,94,109,93,218,111,94,63,94,203,47,171,141,15,1
