dtfk1,ft1,dtsk1,ft2,dtsk2,dtsk3,ft4,dtsk4,dtfk5,ft5,dtsk6,dtfk7,dtsk7,ft8,dtsk8,dtfk10,dtsk10,dtfk11,dtfk12,dtsk12,dtfk13,ft13,dtfk14,ft14,gender
47,31,63,172,62,78,109,94,94,156,62,62,94,94,62,141,78,94,109,79,78,63,47,109,1
62,32,93,94,62,62,32,62,94,125,79,93,78,125,47,47,79,110,125,156,93,47,62,94,1
63,78,93,78,79,32,109,94,78,140,94,62,78,94,125,141,78,94,109,79,63,140,47,109,1
109,16,109,32,78,62,313,391,391,47,78,79,78,62,109,16,47,62,94,78,62,125,31,63,1
78,16,78,93,16,62,16,47,516,578,16,437,62,94,94,32,62,47,94,16,16,78,47,32,1
32,62,16,172,63,50,313,391,484,79,15,250,47,62,94,16,47,62,94,78,46,32,31,63,1
78,594,62,188,62,78,109,219,219,15,63,79,47,125,63,63,94,63,78,78,63,62,79,171,1
63,31,63,31,94,78,62,63,62,47,47,93,63,109,63,62,47,47,94,16,62,63,63,46,1
78,110,62,94,62,47,109,219,62,32,94,62,78,63,94,63,94,63,78,78,63,266,79,171,1
119,47,156,16,94,78,172,266,266,47,94,78,93,312,63,594,93,109,94,78,63,78,94,31,1
94,93,94,16,78,93,15,78,0,31,844,31,63,94,62,94,47,110,172,63,16,109,94,78,1
15,94,16,32,94,94,172,266,0,16,63,78,93,109,172,594,93,109,94,78,78,47,94,31,1
78,78,94,141,78,63,141,281,281,47,47,62,62,31,63,47,63,93,15,16,16,78,47,94,1
47,78,78,78,125,32,47,78,0,47,62,94,16,32,63,78,62,16,32,156,328,62,63,141,1
235,47,328,219,47,63,141,281,0,31,47,78,78,0,32,47,63,93,15,16,31,62,47,94,1
79,125,109,109,94,78,94,94,94,312,94,78,63,125,62,78,94,78,62,78,78,125,63,31,1
94,16,78,16,78,94,16,62,47,188,94,79,78,94,78,47,47,78,204,79,78,47,78,63,1
78,31,78,109,47,63,94,94,78,172,125,78,78,46,204,78,94,78,62,78,78,218,63,31,1
109,78,125,94,94,63,172,125,125,156,125,16,31,94,78,16,62,141,203,78,109,16,125,16,1
125,188,47,125,62,47,16,78,156,109,110,47,109,78,94,94,93,94,79,47,109,32,78,47,1
93,16,109,78,78,15,172,125,156,547,93,78,125,109,79,16,62,141,203,78,124,16,125,16,1
94,47,141,47,94,93,16,94,94,47,110,31,16,80,31,15,78,16,672,78,15,78,16,110,1
110,94,15,125,94,16,78,94,532,625,47,62,15,16,31,62,62,78,671,125,15,125,78,16,1
31,94,15,141,15,31,16,94,563,656,47,31,16,593,671,15,78,16,672,78,78,31,16,110,1
62,63,125,31,94,62,16,125,125,32,62,78,62,78,78,15,78,94,93,94,16,63,94,15,1
62,16,78,16,78,110,32,62,0,16,32,31,16,78,78,46,47,94,78,94,391,78,62,32,1
16,94,391,172,31,62,16,125,93,16,62,94,93,703,78,15,78,94,93,94,62,16,94,15,1
