dtfk1,dtsk1,ft2,dtsk2,dtfk3,dtsk3,ft4,dtsk4,ft5,ft6,dtsk6,dtfk7,dtsk7,dtsk8,dtfk10,dtsk10,dtfk11,ft12,dtsk12,dtfk13,dtsk13,dtfk14,ft14,gender
47,63,172,62,62,78,109,94,156,110,62,62,94,62,141,78,94,31,79,78,94,47,109,1
62,93,94,62,62,62,32,62,125,62,79,93,78,47,47,79,110,78,156,93,78,62,94,1
63,93,78,79,94,32,109,94,140,62,94,62,78,125,141,78,94,31,79,63,47,47,109,1
109,109,32,78,78,62,313,391,47,16,78,79,78,109,16,47,62,234,78,62,16,31,63,1
78,78,93,16,93,62,16,47,578,125,16,437,62,94,32,62,47,172,16,16,94,47,32,1
32,16,172,63,78,50,313,391,79,47,15,250,47,94,16,47,62,234,78,46,62,31,63,1
78,62,188,62,62,78,109,219,15,125,63,79,47,63,63,94,63,16,78,63,78,79,171,1
63,63,31,94,62,78,62,63,47,62,47,93,63,63,62,47,47,62,16,62,78,63,46,1
78,62,94,62,47,47,109,219,32,78,94,62,78,94,63,94,63,16,78,63,109,79,171,1
119,156,16,94,94,78,172,266,47,63,94,78,93,63,594,93,109,31,78,63,15,94,31,1
94,94,16,78,78,93,15,78,31,63,844,31,63,62,94,47,110,78,63,16,78,94,78,1
15,16,32,94,93,94,172,266,16,31,63,78,93,172,594,93,109,31,78,78,110,94,31,1
78,94,141,78,78,63,141,281,47,187,47,62,62,63,47,63,93,93,16,16,94,47,94,1
47,78,78,125,63,32,47,78,47,94,62,94,16,63,78,62,16,94,156,328,47,63,141,1
235,328,219,47,62,63,141,281,31,15,47,78,78,32,47,63,93,93,16,31,328,47,94,1
79,109,109,94,94,78,94,94,312,93,94,78,63,62,78,94,78,78,78,78,63,63,31,1
94,78,16,78,62,94,16,62,188,78,94,79,78,78,47,47,78,46,79,78,78,78,63,1
78,78,109,47,63,63,94,94,172,63,125,78,78,204,78,94,78,78,78,78,79,63,31,1
109,125,94,94,94,63,172,125,156,62,125,16,31,78,16,62,141,16,78,109,94,125,16,1
125,47,125,62,16,47,16,78,109,78,110,47,109,94,94,93,94,62,47,109,78,78,47,1
93,109,78,78,31,15,172,125,547,79,93,78,125,79,16,62,141,16,78,124,78,125,16,1
94,141,47,94,94,93,16,94,47,62,110,31,16,31,15,78,16,31,78,15,32,16,110,1
